# BEGIN PLOT
Legend=1
LogY=1
Title=[Insert title for histogram d01-x01-y01 here]
XLabel=[Insert $x$-axis label for histogram d01-x01-y01 here]
YLabel=[Insert $y$-axis label for histogram d01-x01-y01 here]
DrawOnly=/STAR_2009_I793126/d01-x01-y01 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d01-x01-y01
LegendOnly=/STAR_2009_I793126/d01-x01-y01 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d01-x01-y01
RatioPlot=1
RatioPlotReference=/STAR_2009_I793126/d01-x01-y01
# END PLOT

# BEGIN HISTO1D /STAR_2009_I793126/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2009_I793126/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.375000e+02	4.375000e+02	-nan	-nan	-nan
4.425000e+02	4.425000e+02	-nan	-nan	-nan
4.475000e+02	4.475000e+02	-nan	-nan	-nan
4.525000e+02	4.525000e+02	-nan	-nan	-nan
4.575000e+02	4.575000e+02	-nan	-nan	-nan
4.625000e+02	4.625000e+02	-nan	-nan	-nan
4.675000e+02	4.675000e+02	-nan	-nan	-nan
4.725000e+02	4.725000e+02	-nan	-nan	-nan
4.775000e+02	4.775000e+02	-nan	-nan	-nan
4.825000e+02	4.825000e+02	-nan	-nan	-nan
4.875000e+02	4.875000e+02	-nan	-nan	-nan
4.925000e+02	4.925000e+02	-nan	-nan	-nan
4.975000e+02	4.975000e+02	-nan	-nan	-nan
5.025000e+02	5.025000e+02	-nan	-nan	-nan
5.075000e+02	5.075000e+02	-nan	-nan	-nan
5.125000e+02	5.125000e+02	-nan	-nan	-nan
5.175000e+02	5.175000e+02	-nan	-nan	-nan
5.225000e+02	5.225000e+02	-nan	-nan	-nan
5.275000e+02	5.275000e+02	-nan	-nan	-nan
5.325000e+02	5.325000e+02	-nan	-nan	-nan
5.375000e+02	5.375000e+02	-nan	-nan	-nan
5.425000e+02	5.425000e+02	-nan	-nan	-nan
5.475000e+02	5.475000e+02	-nan	-nan	-nan
5.525000e+02	5.525000e+02	-nan	-nan	-nan
5.575000e+02	5.575000e+02	-nan	-nan	-nan
5.625000e+02	5.625000e+02	-nan	-nan	-nan
5.675000e+02	5.675000e+02	-nan	-nan	-nan
5.725000e+02	5.725000e+02	-nan	-nan	-nan
5.775000e+02	5.775000e+02	-nan	-nan	-nan
5.825000e+02	5.825000e+02	-nan	-nan	-nan
5.875000e+02	5.875000e+02	-nan	-nan	-nan
5.925000e+02	5.925000e+02	-nan	-nan	-nan
5.975000e+02	5.975000e+02	-nan	-nan	-nan
6.025000e+02	6.025000e+02	-nan	-nan	-nan
6.075000e+02	6.075000e+02	-nan	-nan	-nan
6.125000e+02	6.125000e+02	-nan	-nan	-nan
6.175000e+02	6.175000e+02	-nan	-nan	-nan
6.225000e+02	6.225000e+02	-nan	-nan	-nan
6.275000e+02	6.275000e+02	-nan	-nan	-nan
6.325000e+02	6.325000e+02	-nan	-nan	-nan
6.375000e+02	6.375000e+02	-nan	-nan	-nan
6.425000e+02	6.425000e+02	-nan	-nan	-nan
6.475000e+02	6.475000e+02	-nan	-nan	-nan
6.525000e+02	6.525000e+02	-nan	-nan	-nan
6.575000e+02	6.575000e+02	-nan	-nan	-nan
6.625000e+02	6.625000e+02	-nan	-nan	-nan
6.675000e+02	6.675000e+02	-nan	-nan	-nan
6.725000e+02	6.725000e+02	-nan	-nan	-nan
6.775000e+02	6.775000e+02	-nan	-nan	-nan
6.825000e+02	6.825000e+02	-nan	-nan	-nan
6.875000e+02	6.875000e+02	-nan	-nan	-nan
6.925000e+02	6.925000e+02	-nan	-nan	-nan
6.975000e+02	6.975000e+02	-nan	-nan	-nan
7.025000e+02	7.025000e+02	-nan	-nan	-nan
7.075000e+02	7.075000e+02	-nan	-nan	-nan
7.125000e+02	7.125000e+02	-nan	-nan	-nan
7.175000e+02	7.175000e+02	-nan	-nan	-nan
7.225000e+02	7.225000e+02	-nan	-nan	-nan
7.275000e+02	7.275000e+02	-nan	-nan	-nan
7.325000e+02	7.325000e+02	-nan	-nan	-nan
7.375000e+02	7.375000e+02	-nan	-nan	-nan
7.425000e+02	7.425000e+02	-nan	-nan	-nan
7.475000e+02	7.475000e+02	-nan	-nan	-nan
