# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=/STAR_2009_I793126/d29-x01-y04 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d29-x01-y04
LegendOnly=/STAR_2009_I793126/d29-x01-y04 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d29-x01-y04
RatioPlot=1
RatioPlotReference=/STAR_2009_I793126/d29-x01-y04
# END PLOT

# BEGIN HISTO1D /STAR_2009_I793126/d29-x01-y04
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2009_I793126/d29-x01-y04
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.212000e+01	1.212000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.220000e+01	1.220000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.228000e+01	1.228000e+01	1.250600e-02	1.470000e-04	1.470000e-04
1.236000e+01	1.236000e+01	1.243300e-02	1.270000e-04	1.270000e-04
1.244000e+01	1.244000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.252000e+01	1.252000e+01	1.250600e-02	1.470000e-04	1.470000e-04
1.260000e+01	1.260000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.268000e+01	1.268000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.276000e+01	1.276000e+01	1.243300e-02	1.270000e-04	1.270000e-04
1.284000e+01	1.284000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.292000e+01	1.292000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.300000e+01	1.300000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.308000e+01	1.308000e+01	1.243300e-02	1.270000e-04	1.270000e-04
1.316000e+01	1.316000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.324000e+01	1.324000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.332000e+01	1.332000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.340000e+01	1.340000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.348000e+01	1.348000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.356000e+01	1.356000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.364000e+01	1.364000e+01	1.257900e-02	1.640000e-04	1.640000e-04
1.372000e+01	1.372000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.380000e+01	1.380000e+01	1.265300e-02	1.790000e-04	1.790000e-04
1.388000e+01	1.388000e+01	1.228600e-02	7.300000e-05	7.300000e-05
1.396000e+01	1.396000e+01	1.236000e-02	1.040000e-04	1.040000e-04
1.404000e+01	1.404000e+01	1.243300e-02	1.270000e-04	1.270000e-04
1.412000e+01	1.412000e+01	1.221300e-02	1.000000e-10	1.000000e-10
1.420000e+01	1.420000e+01	1.243300e-02	1.270000e-04	1.270000e-04
